Key,English [en-GB],French,German,Spanish
Consoles/ACHIEVEMENT_DESC_041,Place 6 or more obstacles with the Cragheart in a scenario,Placez au moins 6 obstacles avec le Cœur de Roche au cours d'un scénario.,Platziere mindestens sechs Hindernisse mit dem Felsenherz in einem Szenario.,Coloca 6 obstáculos o más con el Corazón hueco en un escenario.
Consoles/ACHIEVEMENT_DESC_042,Enhance your first card,Améliorez votre première carte.,Verbessere deine erste Karte.,Mejora tu primera carta.
Consoles/ACHIEVEMENT_DESC_043,Have the Sunkeeper buff allies 10 or more times in a scenario,Faites en sorte que la Gardienne du Soleil soutienne ses alliés au moins 10 fois au cours d'un scénario.,Stärke mit der Sonnenhüterin mindestens zehn Verbündete in einem Szenario.,Logra que la Guardiana del Sol aplique 10 bonificaciones o más a los aliados en un escenario.
Consoles/ACHIEVEMENT_DESC_044,Have 5 mercenaries in retire in a single Campaign,Faites en sorte que 5 mercenaires prennent leur retraite au cours d'une seule campagne.,Lasse in einer einzigen Kampagne fünf Söldner in den Ruhestand gehen.,Logra que 5 mercenarios se retiren en una sola campaña.
Consoles/ACHIEVEMENT_DESC_045,Use 5 or more Songs in the same scenario with the Soothsinger,Utilisez au moins 5 chansons avec la Chante-Vrai au cours d'un scénario.,Nutze mindestens fünf Lieder mit der Wahrsängerin in einem Szenario.,Realiza 5 acciones de Canción o más en el mismo escenario con la Melodiosa.
Consoles/ACHIEVEMENT_DESC_046,Activate 3 or more traps in a round and complete a scenario,Activez au moins 3 pièges au cours du même round.,Aktiviere mindestens drei Fallen in einer Runde.,Activa 3 trampas o más en una ronda.
Consoles/ACHIEVEMENT_DESC_047,Kill 10 or more Doomed enemies in a scenario with Doomstalker,Tuez au moins 10 adversaires affectés par Condamnation au cours d'un scénario avec le Condamneur.,Töte mindestens zehn schicksalsgeweihte Gegner mit dem Schicksalsläufer in einem Szenario.,Mata a 10 enemigos Condenados o más en un escenario con el Cazador silencioso.
Consoles/ACHIEVEMENT_DESC_048,Use 5 or more summon actions with the Summoner in a scenario,Utilisez au moins 5 actions d'invocation avec l'Invocatrice au cours d'un scénario.,Führe mindestens fünf Beschwörungsaktionen mit der Ruferin in einem Szenario aus.,Usa 5 acciones de Invocar o más con la Invocadora en un escenario.
Consoles/ACHIEVEMENT_DESC_049,Poison 10 or more enemies with the Plagueherald in a scenario,Empoisonnez au moins 10 adversaires avec le Héraut du Fléau au cours d'un scénario.,Vergifte mindestens zehn Gegner mit dem Seuchenbringer in einem Szenario.,Inflige Veneno a 10 enemigos o más con el Heraldo de la plaga en un escenario.
Consoles/ACHIEVEMENT_DESC_050,Use 10 or more abilities that damage yourself with the Berserker in a scenario,Utilisez au moins 10 capacités qui vous infligent des dégâts à vous-même avec la Berserker au cours d'un scénario.,"Nutze in einem Szenario mindestens zehn Fertigkeiten mit der Berserkerin, die dir selbst Schaden zufügen.",Logra que la Berserker use 10 capacidades o más que le permitan infligirse daño a sí misma en un escenario.
Consoles/ACHIEVEMENT_DESC_051,Have the Quartermaster in your party do 4 or more attack actions in a single round and complete a scenario,Faites en sorte que l'Intendant effectue au moins 4 actions d'attaque au cours d'un seul et même round.,Führe mit dem Quartiermeister in deiner Gruppe mindestens vier Angriffsaktionen in einer Runde aus.,Logra que el Intendente de tu grupo realice 4 acciones de ataque o más en una sola ronda.
Consoles/ACHIEVEMENT_DESC_052,Consume at least one of each element with Elementalist during a scenario and complete a scenario,Consommez au moins un élément de chaque type avec l'Élémentaliste au cours d'un scénario.,Verbrauche mit dem Elementaristen mindestens ein Element jeder Art in einem Szenario.,Consume al menos un elemento de cada con el Elementalista durante un escenario.
Consoles/ACHIEVEMENT_DESC_053,Complete all Travel missions in Guildmaster,Accomplissez toutes les quêtes de voyage en mode Maître de guilde.,Schließe alle Reisemissionen im Gildenmeister-Modus ab.,Completa todas las misiones de viaje en el modo Hermandad.
Consoles/ACHIEVEMENT_DESC_054,Complete all Relic Scenarios in Guildmaster,Accomplissez tous les scénarios de relique en mode Maître de guilde.,Schließe alle Reliktszenarien im Gildenmeister-Modus ab.,Completa todos los escenarios de reliquia en el modo Hermandad.
Consoles/ACHIEVEMENT_DESC_055,Have the VoidWarden grant 10 or more actions to other mercenaries in a scenario,Faites en sorte que la Gardienne du Néant offre au moins 10 actions aux autres mercenaires au cours d'un scénario.,Gewähre mit der Leerehüterin anderen Söldnern mindestens zehn Aktionen in einem Szenario.,Logra que la Centinela del Vacío otorgue 10 acciones o más a otros mercenarios en un escenario.
Consoles/ACHIEVEMENT_DESC_056,Have the Beast Tyrant's Bear do 100 or more damage and kill 6 or more enemies in a scenario,Faites en sorte que l'ours du Maître des Bêtes inflige au moins 100 dégâts et tue au moins 6 adversaires au cours d'un scénario.,Verursache mit dem Bär des Bestienmeisters mindestens 100 Schaden und töte mindestens sechs Gegner in einem Szenario.,Logra que el oso del Señor de las bestias inflija 100 de daño o más y mate a 6 enemigos o más en un escenario.
Consoles/ACHIEVEMENT_DESC_057,Have the Nightshroud kill 8 or more enemies while invisible in a scenario,Faites en sorte que le Voilsombre tue au moins 8 adversaires en étant invisible au cours d'un scénario.,Töte mit dem Nachtschleier unsichtbar mindestens acht Gegner in einem Szenario.,Logra que el Sudario Nocturno mate a 8 enemigos o más mientras tenga el estado Invisibilidad en un escenario.
Consoles/ACHIEVEMENT_DESC_058,Have the Hatchet use The Favourite in 5 or more attacks in a scenario,Faites en sorte que le Lanceur de haches utilise La Favorite au cours de 5 attaques ou plus au cours d'un scénario.,Benutze mit dem Axtwerfer seinen Liebling in mindestens fünf Angriffen in einem Szenario.,Logra que el Ejecutor use su ficha de Favorita en 5 o más ataques en un escenario.
Consoles/ACHIEVEMENT_DESC_059,Level up to 5 or more with all the new Jaws of the Lion classes,Montez toutes les classes des Mâchoires du Lion au niveau 5 ou plus.,"Erreiche mindestens Stufe 5 mit allen neuen Klassen aus ""Die Pranken des Löwen"".",Logra que todas clases nuevas de Fauces del León alcancen el nivel 5 o más.
Consoles/ACHIEVEMENT_DESC_060,Have the Red Guard damage enemies 10 or more times with the Sand Devil in a scenario,Faites en sorte que le Garde Rouge endommage au moins 10 fois les adversaires à l'aide de Diable des Sables au cours d'un scénario.,Verursache mit dem Rotgardisten mindestens zehnmal Schaden bei Gegnern per Sandteufel in einem Szenario.,Logra que el Guardia rojo inflija daño a los enemigos con el Remolino de arena 10 veces o más en un escenario.
Consoles/ACHIEVEMENT_DESC_061,Have the Demolitionist destroy 8 or more obstacles in a scenario,Faites en sorte que l'Artificier détruise au moins 8 obstacles au cours d'un scénario.,Töte mit der Sprengmeisterin mindestens acht Hindernisse in einem Szenario.,Logra que la Demoledora destruya 8 obstáculos o más en un escenario.
Consoles/ACHIEVEMENT_TITLE_001,I'm not dead yet,Je ne suis pas encore mort,Ich bin noch nicht tot,Aún no he muerto
Consoles/ACHIEVEMENT_TITLE_002,A normal day in Gloomhaven,Un jour comme les autres à Havrenuit,Ein normaler Tag in Gloomhaven,Un día cualquiera en Gloomhaven
Consoles/ACHIEVEMENT_TITLE_003,Vaccine Incoming,Livraison de médicaments,Triage,Vacuna al canto
Consoles/ACHIEVEMENT_TITLE_004,Who's the Boss?,"C'est qui, le plus fort ?",Wer ist hier der Boss?,¿Quién manda aquí?
Consoles/ACHIEVEMENT_TITLE_005,Get over here!,"Viens ici, toi !",Komm her!,¡Ven p'acá!
Consoles/ACHIEVEMENT_TITLE_006,Mine... All Mine...,Par ici la monnaie !,Meins ... alles meins ...,Mías... Todas mías...
Consoles/ACHIEVEMENT_TITLE_007,Grizzled veteran,Vétéran grisonnant,Ergrauter Veteran,Veteranía
Consoles/ACHIEVEMENT_TITLE_008,Caught off guard,Pas si inoxydables que ça,Überrumpelt,Con la guardia baja
Consoles/ACHIEVEMENT_TITLE_009,Merchant of doom,Marchande de malheur,Händler des Verderbens,Comerciante funesta
Consoles/ACHIEVEMENT_TITLE_010,Add a bit of colour,Une touche de couleur,Ein bisschen Farbe,Con un toque de color
Consoles/ACHIEVEMENT_TITLE_011,I hate portals,Je hais les portails,Ich hasse Portale,Odio los portales
Consoles/ACHIEVEMENT_TITLE_012,The Rat King,Le Roi des Rats,Der Rattenkönig,Reina rata
Consoles/ACHIEVEMENT_TITLE_013,An eye for an eye,Œil pour œil,Auge um Auge,Ojo por ojo
Consoles/ACHIEVEMENT_TITLE_014,Power Up!,Puissance au carré,Verstärkung!,¡Mejora!
Consoles/ACHIEVEMENT_TITLE_015,Down the hatch,À tire d'ailes,Durch die Luke,¡Para dentro!
Consoles/ACHIEVEMENT_TITLE_016,The Cephalophore,Céphalophore,Der Cephalophore,El cefalóforo
Consoles/ACHIEVEMENT_TITLE_017,Betray this,"À traître, traître et demi",Verraten und verkauft,Traicióname esta
Consoles/ACHIEVEMENT_TITLE_018,Captain hooked,"Ô capitaine, mon capitaine !",Hauptmann am Haken,Capitán Acabhaddock
Consoles/ACHIEVEMENT_TITLE_019,The Sniper,Sniper,Der Schütze,A distancia
Consoles/ACHIEVEMENT_TITLE_020,Master Assassin,Maître assassin,Meisterhafter Attentäter,Maestro asesino
Consoles/ACHIEVEMENT_TITLE_021,The Pro from Dover,Infirmier en chef,Der Profi aus Dover,Un médico en la sala
Consoles/ACHIEVEMENT_TITLE_022,How to train your Drake,Ersazt de dragon,Drakenzähmen leicht gemacht,Cómo entrenar a tu Draco
Consoles/ACHIEVEMENT_TITLE_023,Spoiler police!,Attention aux spoilers !,Spoiler-Polizei,Varios pájaros de un tiro
Consoles/ACHIEVEMENT_TITLE_024,"From Gloom, only greed and death emerges",La victoire au cœur de l'ombre,Das Grauen heißt nur Gier und Tod,La Penumbra solo trae codicia y muerte
Consoles/ACHIEVEMENT_TITLE_025,The Pacifist,Pacifiste,Der Pazifist,Pacifista
Consoles/ACHIEVEMENT_TITLE_026,A tough job,Un travail difficile,Ein harter Job,Un arduo trabajo
Consoles/ACHIEVEMENT_TITLE_027,A cult following,Un véritable culte,Ein Kult für alle Fälle,Fieles seguidores
Consoles/ACHIEVEMENT_TITLE_028,Over your dead body,Meurs une autre fois,Nur über deine Leiche,Por encima de tu cadáver
Consoles/ACHIEVEMENT_TITLE_029,The Guildmaster,Maître de guilde,Der Gildenmeister,Maestro de la hermandad
Consoles/ACHIEVEMENT_TITLE_030,New Blood,Un peu de sang neuf,Frisches Blut,Sangre fresca
Consoles/ACHIEVEMENT_TITLE_031,The evil that men do,Un mal insidieux,Das Böse im Menschen,El mal que hacen los hombres
Consoles/ACHIEVEMENT_TITLE_032,MacReady Steady.. Go!,"Horreur, malheur !",MacReadys Stunde,"Preparados, listos, ¡ZAS!"
Consoles/ACHIEVEMENT_TITLE_033,Beware my power,Contemplez mon pouvoir !,Hüte dich vor meiner Macht,Cuidado con mi poder
Consoles/ACHIEVEMENT_TITLE_034,The Jaws of victory!,Aux vainqueurs le butin,Die Pranken des Sieges,El premio de la victoria
Consoles/ACHIEVEMENT_TITLE_035,Hard-travelling Heroes,Bourreaux de travail,Helden im Reisefieber,Héroes errantes
Consoles/ACHIEVEMENT_TITLE_036,Overkill,Surpuissance,Überschuss,Exceso
Consoles/ACHIEVEMENT_TITLE_037,Just when I thought I was out...,Et moi qui croyais être à sec...,"Ich dachte, es wäre vorbei ...",Justo cuando pensaba que estaba fuera...
Consoles/ACHIEVEMENT_TITLE_038,Augmented rat,Amplification extrême,Verstärkte Ratte,Aumentos ratoneros
Consoles/ACHIEVEMENT_TITLE_039,Spread the plague,Malade à en crever,Pestverbreitung,Extender la plaga
Consoles/ACHIEVEMENT_TITLE_040,Anatomy Lesson,Leçon d'anatomie,Anatomiestunde,Clase de anatomía
Consoles/ACHIEVEMENT_TITLE_041,Obstacle race,Course d'obstacles,Hindernislauf,Carrera de obstáculos
Consoles/ACHIEVEMENT_TITLE_042,Precious!,Mon précieux !,Kostbar!,Mi tesoro
Consoles/ACHIEVEMENT_TITLE_043,Light of my life,Lumière de ma vie,Licht meines Lebens,La luz de mi vida
Consoles/ACHIEVEMENT_TITLE_044,Dungeon Veteran,Vétérans des donjons,Verliesexperte,Experiencia en mazmorras
Consoles/ACHIEVEMENT_TITLE_045,"Play it again, Sam",Encore !,"Spiel's noch mal, Sam","Tócala otra vez, Sam"
Consoles/ACHIEVEMENT_TITLE_046,You activated my trap card!,C'est un piège !,Du hast meine Fallenkarte aktiviert!,¡Acabas de activar mi carta trampa!
Consoles/ACHIEVEMENT_TITLE_047,Doom and gloom,Des condamnations à la pelle,Schicksal und Verdammnis,Esto es una condena
Consoles/ACHIEVEMENT_TITLE_048,Pack leader,Chef de meute,Rudelführer,Líder de la manada
Consoles/ACHIEVEMENT_TITLE_049,Black death,La mort noire,Schwarzer Tod,Peste negra
Consoles/ACHIEVEMENT_TITLE_050,Pain is your friend,La douleur est votre amie,Schmerz ist dein Freund,El dolor es tu amigo
Consoles/ACHIEVEMENT_TITLE_051,Quad damage,Quadruples dégâts,Vierfachschaden,Daño por los cuatro costados
Consoles/ACHIEVEMENT_TITLE_052,Pretty lights!,Jolies lumières,Hübsche Lichter!,¡Qué bonitas lucecitas!
Consoles/ACHIEVEMENT_TITLE_053,The Cartographer,Cartographe,Der Kartograf,Cartografía
Consoles/ACHIEVEMENT_TITLE_054,Lara Who?,Lara qui ?,Lara wer?,¿Lara qué?
Consoles/ACHIEVEMENT_TITLE_055,Born Support,Soutien inconditionnel,Geborener Unterstützer,De profesión: apoyo
Consoles/ACHIEVEMENT_TITLE_056,Grin and bear it,La Grande Ourse,Bärendienst,¡Anda la osa!
Consoles/ACHIEVEMENT_TITLE_057,Now you see me...,Qui me voit ?,Jetzt siehst du mich ...,Ahora me ves...
Consoles/ACHIEVEMENT_TITLE_058,An axe to grind,Pas de favoritisme !,Verdammte Axt,¡Eres un hacha!
Consoles/ACHIEVEMENT_TITLE_059,Pull out the big guns,Promotions en chaîne,Jetzt wird's ernst,Sacando la artillería pesada
Consoles/ACHIEVEMENT_TITLE_060,Crimson Tornado,Tornade rouge,Purpursturm,Tornado carmesí
Consoles/ACHIEVEMENT_TITLE_061,Murder Death Kill,Destruction totale,Murder Death Kill,"Muerte, asesinato"
Consoles/BUY_DLC,Buy,Acheter,Kaufen,Comprar
Consoles/COMMUNICATION_DISABLED_NOT_ALLOWED_REASON,"Sorry, you’re currently prevented from talking with this user.","Désolé, vous ne pouvez pour le moment pas discuter avec cet utilisateur.",Du kannst leider nicht mit diesem Nutzer sprechen.,No puedes hablar con este usuario.
Consoles/COMMUNICATION_DISABLED_SETTINGS_RESTRICTS_REASON,"Sorry, you’re currently prevented from talking with this user. Change your settings.","Désolé, vous ne pouvez pour le moment pas discuter avec cet utilisateur. Modifiez vos paramètres.",Du kannst leider nicht mit diesem Nutzer sprechen. Ändere deine Einstellungen.,No puedes hablar con este usuario. Cambia los ajustes.
Consoles/COMMUNICATION_DISABLED_UNKNOWN_REASON,"Sorry, you’re currently prevented from talking with this user. Change your settings.","Désolé, vous ne pouvez pour le moment pas discuter avec cet utilisateur. Modifiez vos paramètres.",Du kannst leider nicht mit diesem Nutzer sprechen. Ändere deine Einstellungen.,No puedes hablar con este usuario. Cambia los ajustes.
Consoles/COMMUNICATION_DISABLED_USER_IN_BLOCK_LIST_REASON,"Sorry, you’re currently prevented from talking with this user. Reason: user in blocklist.","Désolé, vous ne pouvez pour le moment pas discuter avec cet utilisateur. Raison : l'utilisateur figure sur votre liste de joueurs bloqués.","Du kannst leider nicht mit diesem Nutzer sprechen, da er sich auf der Sperrliste befindet.",No puedes hablar con este usuario. Motivo: usuario en la lista de bloqueados.
Consoles/COMMUNICATION_DISABLED_USER_IN_MUTE_LIST_REASON,"Sorry, you’re currently prevented from talking with this user. Reason: user in mutelist.","Désolé, vous ne pouvez pour le moment pas discuter avec cet utilisateur. Raison : l'utilisateur figure sur votre liste de joueurs muets.","Du kannst leider nicht mit diesem Nutzer sprechen, da er sich auf der Mute-Liste befindet.",No puedes hablar con este usuario. Motivo: usuario en tu lista de silenciados.
Consoles/COMPENDIUM_AreaEffects_4_CONSOLE,"Some area effect attacks have a ranged attribute, allowing targeting of a group of enemies from afar. Only one of the red hexes needs to be within the range specified and it does not need to contain an enemy.)

You can only attack enemies in hexes you have line of sight to.","Certaines attaques de zone possèdent une portée, ce qui leur permet de cibler un groupe d'adversaires à distance. Pour cela, il suffit qu'un seul hexagone rouge soit à portée, et ce même s'il est vide.

Toutefois, vous ne pouvez attaquer que les adversaires dans votre ligne de vue.","Einige Flächenangriffe haben das Fernkampf-Attribut, wodurch sich weiter entfernte Gegner anvisieren lassen. Dabei muss nur eines der roten Felder innerhalb der angegebenen Reichweite liegen, und es muss nicht zwingend ein Gegner darauf stehen.

Du kannst nur Gegner auf Feldern angreifen, zu denen eine Sichtlinie besteht.","Algunos ataques de zona de efecto tienen un atributo de alcance que les permite tomar por objetivo a enemigos lejanos. Solo es necesario que uno de los hexágonos rojos esté dentro del alcance indicado y no hace falta que haya ningún enemigo en él.

Solo puedes atacar a enemigos que estén en hexágonos para los que tengas líneas de visión."
