Key,English [en-GB],French [fr],German [de],Spanish [es],Polish [pl],
JOTL_015_B,Double the value of your next attack this round.,Double la valeur de votre prochaine attaque au cours de ce round.,Verdopple den Wert deines nächsten Angriffs in dieser Runde.,Duplica el valor de tu próximo ataque durante esta ronda.,Podwaja wartość twojego następnego ataku w tej rundzie.,
JOTL_016_B_1,All adjacent enemies suffer 1 damage.,Tous les adversaires adjacents subissent 1 dégât.,Alle angrenzenden Gegner erleiden 1 Schaden.,Todos los enemigos adyacentes sufren 1 de daño.,Wszyscy sąsiadujący przeciwnicy otrzymują 1 obrażenie.,
JOTL_016_B_2,All adjacent enemies suffer 2 damage.,Tous les adversaires adjacents subissent 2 dégâts.,Alle angrenzenden Gegner erleiden 2 Schaden.,Todos los enemigos adyacentes sufren 2 de daño.,Wszyscy sąsiadujący przeciwnicy otrzymują 2 obrażenia.,
JOTL_018_T,Add <nobr>+2 Attack <sprite name=Attack></nobr> and gain <sprite name=XP1> if the target has your Favorite.,"Ajoute <nobr>+2 en Attaque <sprite name=Attack></nobr>. De plus, vous gagnez <sprite name=XP1> si la cible a votre Favorite.","Füge <nobr>+2 Angriff <sprite name=Attack></nobr> hinzu und erhalte <sprite name=XP1>, wenn dein Liebling auf diesem Ziel liegt.",Añade <nobr>Ataque <sprite name=Attack> +2</nobr> y obtén <sprite name=XP1> si el objetivo tiene tu ficha de Favorita.,"Dodaj <nobr>+2 do Ataku <sprite name=Attack></nobr> i zyskaj <sprite name=XP1>, jeśli cel ma twój znacznik Ulubieńca.",
JOTL_019_B,Add <nobr>+2 Move <sprite name=Move></nobr> and gain <sprite name=XP1> if you killed an enemy this round.,"Ajoute <nobr>+2 en Déplacement <sprite name=Move></nobr>. De plus, vous gagnez <sprite name=XP1> si vous avez éliminé un adversaire au cours de ce round.","Füge <nobr>+2 Bewegung <sprite name=Move></nobr> hinzu und erhalte <sprite name=XP1>, wenn du in dieser Runde einen Gegner getötet hast.",Añade <nobr>Movimiento <sprite name=Move> +2</nobr> y obtén <sprite name=XP1> si has matado a un enemigo durante esta ronda.,"Dodaj <nobr>+2 do Ruchu <sprite name=Move></nobr> i zyskaj <sprite name=XP1> , jeśli udało ci się zabić przeciwnika w tej rundzie.",
JOTL_020_T,Target one ally adjacent to the target of the attack,Cible un allié adjacent à la cible de l'attaque.,"Visiere einen Verbündeten an, der an das Ziel des Angriffs angrenzt.",Toma como objetivo a un aliado adyacente al objetivo del ataque.,Cel: jeden sojusznik sąsiadujący z celem ataku,
JOTL_021_B,"On your next four Move abilities, add <nobr>+2 Move <sprite name=Move></nobr>.",Ajoute <nobr>+2 en Déplacement <sprite name=Move></nobr> à vos quatre prochaines capacités de Déplacement.,Füge deinen nächsten vier Bewegungsfertigkeiten <nobr>+2 Bewegung <sprite name=Move></nobr> hinzu.,"Para tus próximas 4 capacidades de Movimiento, <nobr>añade Movimiento <sprite name=Move> +2</nobr>.",Dadaj <nobr>+2 do Ruchu <sprite name=Move></nobr> dla twoich czterech następnych zdolności Ruchu.,
JOTL_022_B,Add <nobr>+1 Attack <sprite name=Attack></nobr> to all your attacks this round.,Ajoute <nobr>+1 en Attaque <sprite name=Attack></nobr> à toutes vos attaques au cours de ce round.,Füge in dieser Runde allen deinen Angriffen <nobr>+1 Angriff <sprite name=Attack></nobr> hinzu.,Añade <nobr>Ataque <sprite name=Attack> +1</nobr> a todos tus ataques durante esta ronda.,Dodaj <nobr>+1 do Ataku <sprite name=Attack></nobr> dla wszystkich twoich ataków w tej rundzie.,
JOTL_023_T,Add <nobr>+2 Attack <sprite name=Attack></nobr> and gain <sprite name=XP1> if the target has your Favorite.,"Ajoute <nobr>+2 en Attaque <sprite name=Attack></nobr>. De plus, vous gagnez <sprite name=XP1> si la cible a votre Favorite.","Füge <nobr>+2 Angriff <sprite name=Attack></nobr> hinzu und erhalte <sprite name=XP1>, wenn dein Liebling auf diesem Ziel liegt.",Añade <nobr>Ataque <sprite name=Attack> +2</nobr> y obtén <sprite name=XP1> si el objetivo tiene tu ficha de Favorita.,"Dodaj <nobr>+2 do Ataku <sprite name=Attack></nobr> i zyskaj <sprite name=XP1> , jeśli cel ma twój znacznik Ulubieńca.",
JOTL_024_T,Target a different enemy within <nobr>Range <sprite name=Range> 2</nobr> of the target of the previous Attack ability,Cible un adversaire à <nobr>Portée <sprite name=Range> 2</nobr> différent de la cible de la précédente capacité d'Attaque.,Visiere einen anderen Gegner in <nobr>Reichweite <sprite name=Range> 2</nobr> des Ziels deiner vorherigen Angriffsfertigkeit an.,Toma como objetivo a un enemigo diferente a <nobr>Alcance <sprite name=Range> 2</nobr> del objetivo de la capacidad de Ataque anterior.,Cel: inny przeciwnik w Zasięgu <nobr>Range <sprite name=Range> 2</nobr> od celu poprzedniej zdolności Ataku.,
JOTL_024_B,"On your next four attacks when possible, one enemy adjacent to the target suffers 2 damage.","Lors de vos quatre prochaines attaques, un adversaire adjacent à la cible subit 2 dégâts, si possible.","Bei deinen nächsten vier Angriffen erleidet ein an das Ziel angrenzender Gegner 2 Schaden, wenn möglich.","Para tus próximos 4 ataques, cuando sea posible, un enemigo adyacente al objetivo sufre 2 de daño.","Jeśli to możliwe, w twoich czterech następnych atakach jeden przeciwnik sąsiadujący z celem otrzymuje 2 obrażenia.",
JOTL_025_T,"If this attack kills the target, one enemy adjacent to the hex in which it died suffers X damage, where X is the amount of damage the target would have suffered in excess of what was needed to kill it.","Si cette attaque élimine la cible, un adversaire adjacent à l'hexagone où elle se trouvait subit X dégâts, où X est le montant des dégâts que la cible aurait subis en plus de ce qui était nécessaire pour l'éliminer.","Wenn der Angriff das Ziel tötet, erleidet ein an das Todesfeld angrenzender Gegner X Schaden. X ist der Schaden, den das Ziel über den zum Töten benötigten Schaden hinaus erlitten hätte.","Si este ataque mata al objetivo, un enemigo adyacente al hexágono en el que murió sufre X de daño, donde X es la cantidad de daño que el objetivo habría sufrido por encima del que se necesitaba para matarlo.","Jeśli ten atak zabije cel, jeden przeciwnik sąsiadujący z polem, na którym zginał, otrzymuje X obrażeń. X to obrażenia, jakie otrzymałby cel ponad te, które były koniczne do jego zabicia.",
JOTL_025_B,Add <nobr>+2 Attack <sprite name=Attack></nobr> and gain <sprite name=XP1> if you killed an enemy this round.,"Ajoute <nobr>+2 en Attaque <sprite name=Attack></nobr>. De plus, vous gagnez <sprite name=XP1> si vous avez éliminé un adversaire au cours de ce round.","Füge <nobr>+2 Angriff <sprite name=Attack></nobr> hinzu und erhalte <sprite name=XP1>, wenn du in dieser Runde einen Gegner getötet hast.",Añade <nobr>Ataque <sprite name=Attack> +2</nobr> y obtén <sprite name=XP1> si has matado a un enemigo durante esta ronda.,"Dodaj <nobr>+2 do Ataku <sprite name=Attack></nobr> i zyskaj <sprite name=XP1> , jeśli zabiłeś przeciwnika w tej rundzie.",
JOTL_026_T,"On your next five attacks, add <nobr>+1 Attack <sprite name=Attack></nobr> and <nobr>WOUND <sprite name=Wound></nobr>.",Ajoute <nobr>+1 en Attaque <sprite name=Attack></nobr> et <nobr>BLESSURE <sprite name=Wound></nobr> à vos cinq prochaines attaques.,Füge deinen nächsten fünf Angriffen <nobr>+1 Angriff <sprite name=Attack></nobr> und <nobr> WUNDE <sprite name=Wound></nobr> hinzu.,"Para tus próximos 5 ataques, añade <nobr>Ataque <sprite name=Attack> +1</nobr> y <nobr>HERIDA <sprite name=Wound></nobr>.","Dodaj <nobr>+1 do Ataku <sprite name=Attack></nobr> , oraz <nobr>ZRANIENIE<sprite name=Wound></nobr> do twoich następnych pięciu ataków. ",
JOTL_027_T,"If an adjacent enemy has your Favorite, you may return it to its Active Ability. If you do, the adjacent enemy suffers 2 damage and gains <nobr>WOUND <sprite name=Wound></nobr>.","Si un adversaire adjacent a votre Favorite, vous pouvez remettre celle-ci sur sa capacité active. Dans ce cas, l'adversaire adjacent subit 2 dégâts, ainsi que <nobr>BLESSURE <sprite name=Wound>.</nobr>","Wenn dein Liebling auf einem angrenzenden Gegner liegt, darfst du ihn auf seine aktive Fertigkeit zurücklegen. Tust du das, erleidet der angrenzende Gegner 2 Schaden und erhält <nobr>WUNDE <sprite name=Wound></nobr>.","Si un enemigo adyacente tiene tu ficha de Favorita, puedes devolver la ficha a su capacidad activa. Si lo haces, dicho enemigo adyacente sufre 2 de daño y obtiene <nobr>HERIDA <sprite name=Wound></nobr>.","Jeśli sąsiadujący przeciwnik ma twój znacznik Ulubieńca, możesz odłożyć znacznik z powrotem na kartę. Gdy tak zrobisz, sąsiadujący przeciwnik otrzyma 2 obrażenia oraz <nobr>ZRANIENIE <sprite name=Wound></nobr>.",
JOTL_027_B,Add <nobr>STRENGTHEN <sprite name=Strengthen></nobr> and gain <sprite name=XP1> if you killed an enemy this round.,"Ajoute <nobr>RENFORCEMENT <sprite name=Strengthen>.</nobr> De plus, vous gagnez <sprite name=XP1> si vous éliminez un adversaire au cours de ce round.","Füge <nobr>STÄRKUNG <sprite name=Strengthen></nobr> hinzu und erhalte <sprite name=XP1>, wenn du in dieser Runde einen Gegner getötet hast.",Añade <nobr>FORTALECIMIENTO <sprite name=Strengthen></nobr> y obtén <sprite name=XP1> si has matado a un enemigo durante esta ronda.,Dodaj <nobr>WZMOCNIENIE <sprite name=Strengthen></nobr> i zyskaj <sprite name=XP1> jeśli udało ci się zabić przeciwnika w tej rundzie.,
JOTL_028_B,"The next five times an enemy ends a Move ability within <nobr>Range <sprite name=Range> 5</nobr>, perform an ""<nobr>Attack <sprite name=Attack> 2</nobr>, <nobr>Range <sprite name=Range> 5</nobr>"" action targeting that enemy.","Les cinq prochaines fois qu'un adversaire termine sa capacité de Déplacement à <nobr>Portée <sprite name=Range> 5</nobr>, effectuez une action <nobr>« Attaque <sprite name=Attack> 2</nobr>, <nobr>Portée <sprite name=Range> 5 »</nobr> le ciblant.","Führe bei den nächsten fünf gegnerischen Bewegungen, die in <nobr>Reichweite <sprite name=Range> 5</nobr> enden, eine ""<nobr>Angriffsaktion <sprite name=Attack> 2</nobr> mit <nobr>Reichweite <sprite name=Range> 5</nobr>"" auf diesen Gegner aus.","Las próximas 5 veces que un enemigo termine una capacidad de Movimiento a <nobr>Alcance <sprite name=Range> 5</nobr>, realiza una acción de «<nobr>Ataque <sprite name=Attack> 2</nobr>, <nobr>Alcance <sprite name=Range> 5</nobr>» tomando como objetivo a ese enemigo.","W pięciu następnychprzypadkach gdy przeciwnik zakończy swoją zdolność Ruchu na polu w <nobr>Zasięgu <sprite name=Range> 5</nobr>, wykonaj „<nobr>Atak <sprite name=Attack> 2</nobr>, <nobr>Zasięg <sprite name=Range> 5</nobr>"", którego celem jest ten przeciwnik. ",
JOTL_030_T,"You may add <nobr>+3 Attack <sprite name=Attack></nobr>, <nobr>WOUND <sprite name=Wound></nobr>, and <nobr>PUSH <sprite name=Push> 1</nobr> to a single target of any of your ranged attacks by marking it with your Favorite. When that target dies, it will drop your Favorite. If you loot that hex, return your Favorite to this Active Ability. This card cannot be active while ""The Favorite"" is active.","Vous pouvez ajouter <nobr>+3 en Attaque <sprite name=Attack></nobr>, <nobr>BLESSURE <sprite name=Wound></nobr> et <nobr>POUSSÉE <sprite name=Push> 1</nobr> à une cible de l'une de vos attaques à distance si vous la portez à l'aide de votre Favorite. Quand la cible est éliminée, votre Favorite tombe à terre. Si vous pillez l'hexagone où se trouvait la cible, remettez la Favorite sur cette capacité active. Cette carte ne peut pas être active en même temps que la Favorite.","Füge einem deiner Fernangriffe gegen ein einzelnes Ziel <nobr>+3 Angriff <sprite name=Attack></nobr>, <nobr>WUNDE <sprite name=Wound></nobr> und <nobr>SCHIEBEN <sprite name=Push> 1</nobr> hinzu, indem du es mit deinem Liebling markierst. Wenn das Ziel stirbt, lässt es deinen Liebling fallen. Erbeutest du das Feld, kehrt dein Liebling zu dieser aktiven Fertigkeit zurück. Diese Karte kann nicht aktiv sein, während ""Der Liebling"" aktiv ist.","Puedes añadir <nobr>Ataque <sprite name=Attack> +3</nobr>, <nobr>HERIDA <sprite name=Wound></nobr> y <nobr>EMPUJÓN <sprite name=Push> 1</nobr> a cualquiera de tus ataques a distancia moviendo la ficha de Favorita a un único objetivo. Cuando ese objetivo muera, la ficha quedará en el hexágono donde murió. Si saqueas ese hexágono, devuelve tu ficha de Favorita a esta carta de capacidad activa. Esta carta no puede estar activa mientras «La favorita» esté activa.","Możesz dodać <nobr>+3 do Ataku <sprite name=Attack></nobr>, <nobr>ZRANIENIE <sprite name=Wound></nobr>oraz<nobr>ODEPCHNIĘCIE<sprite name=Push> 1</nobr> dla twojego ataku dystansowego przemieszczając znacznik z karty na cel po rozpatrzeniu zdolności ataku. Kiedy cel zginie, umieść znacznik na polu jego śmierci. Jeśli przeprowadzisz na tym polu grabież, odłuż znacznik z powrotem na tę kartę. Karta ta nie może być aktywna, jeśli aktywna jest karta ""Ulubieniec"".",
JOTL_031_B,All adjacent enemies suffer 1 damage.,Tous les adversaires adjacents subissent 1 dégât.,Alle angrenzenden Gegner erleiden 1 Schaden.,Todos los enemigos adyacentes sufren 1 de daño.,Wszyscy sąsiadujący przeciwnicy otrzymują 1 obrażenie.,
JOTL_032_B,"If your Favorite is in or adjacent to your hex, you may perform","Si votre Favorite se trouve sur votre hexagone ou un hexagone adjacent, vous pouvez effectuer","Wenn dein Liebling auf deinem oder einem angrenzenden Feld liegt, kannst du ausführen:","Si tu ficha de Favorita está en tu hexágono o adyacente a él, puedes realizar","Jeśli twój znacznik Ulubieńca znajduje się na sąsiednim polu, możesz wykonać ",
JOTL_033_T,"On your next five attacks targeting an enemy that has your Favorite, add <nobr>+2 Attack <sprite name=Attack></nobr>.",Ajoute <nobr>+2 en Attaque <sprite name=Attack></nobr> à vos cinq prochaines attaques ciblant un adversaire qui a votre Favorite.,"Füge deinen nächsten fünf Angriffen, die einen Gegner anvisieren, auf dem dein Liebling liegt, <nobr>+2 Angriff <sprite name=Attack></nobr> hinzu.","Para tus próximos 5 ataques que tomen como objetivo a un enemigo que tenga tu ficha de Favorita, añade <nobr>Ataque <sprite name=Attack> +2</nobr>.","Dodaj <nobr>+2 do Ataku <sprite name=Attack></nobr> do twoich następnych pięciu ataków, których celem jest przeciwnik z twoim znacznikiem Ulubieńca.",
JOTL_034_T,"Add <nobr>+2 Attack <sprite name=Attack></nobr> and gain <sprite name=XP1> if the target has your Favorite, then return the token to its card.","Ajoute <nobr>+2 en Attaque <sprite name=Attack></nobr>. De plus, vous gagnez <sprite name=XP1> si la cible a votre Favorite. Puis, replacez le jeton sur sa carte.","Füge <nobr>+2 Angriff <sprite name=Attack></nobr> hinzu und erhalte <sprite name=XP1>. Wenn dein Liebling auf diesem Ziel liegt, lege ihn danach auf seine Karte zurück.","Añade <nobr>Ataque <sprite name=Attack> +2</nobr> y obtén <sprite name=XP1> si el objetivo tiene tu ficha de Favorita. A continuación, devuelve la ficha a su carta.","Dodaj <nobr>+2 do Ataku <sprite name=Attack></nobr> i zyskaj <sprite name=XP1>, jeśli cel ma twój znacznik Ulubieńca. Następnie odłóż znacznik z powrotem na kartę.",
JOTL_035_B,"The next five times you kill an enemy, all enemies adjacent to the hex in which it died suffer 2 damage.","Les cinq prochaines fois que vous éliminez un adversaire, tous les adversaires adjacents à l'hexagone où il se trouvait subissent 2 dégâts.","Wenn du die nächsten fünf Male einen Gegner tötest, erleiden alle Gegner, die an das Feld angrenzen, auf dem er gestorben ist, 2 Schaden.","Las próximas 5 veces que mates a un enemigo, todos los enemigos adyacentes al hexágono en el que murió sufren 2 de daño.","W pieciu nastepnych przypadkach gdy zabijesz przeciwnika, wszyscy wrogowie sasiadujacy z polem, na którym zginął, otrzymują 2 obrazenia.",
JOTL_036_B,Add <nobr>+2 Attack <sprite name=Attack></nobr> to your next attack this turn if you are adjacent to an ally.,Ajoute <nobr>+2 en Attaque <sprite name=Attack></nobr> à votre prochaine attaque au cours de ce round si vous êtes adjacent à un allié.,"Füge deinem nächsten Nahkampfangriff in diesem Zug <nobr>+2 Angriff <sprite name=Attack></nobr>, wenn du an einen Verbündeten angrenzt.",Añade <nobr>Ataque <sprite name=Attack> +2</nobr> a tu próximo ataque durante este turno si estás adyacente a un aliado.,"Dodaj <nobr>+2 do Ataku <sprite name=Attack></nobr> dla twojego następnego ataku w tej turze, jeśli sąsiadujesz z sojusznikiem.",
JOTL_037_T,One adjacent normal or elite enemy suffers 12 damage.,Un adversaire normal ou d'élite adjacent subit 12 dégâts.,Ein angrenzender normaler oder Elite-Gegner erleidet 12 Schaden.,Un enemigo adyacente normal o de élite sufre 12 de daño.,Jeden sąsiadujący zwykły lub elitarny przeciwnik otrzymuje 12 obrażeń.,
JOTL_037_B,"If you killed an enemy this round, return your Favorite to its Active Ability and gain <sprite name=XP1>.","Si vous avez éliminé un adversaire au cours de ce round, ramenez votre Favorite sur sa capacité active et gagnez <sprite name=XP1>.","Wenn du in dieser Runde einen Gegner getötet hast, lege deinen Liebling auf seine aktive Fertigkeit zurück und erhalte <sprite name=XP1>.","Si has matado a un enemigo durante esta ronda, devuelve tu ficha de Favorita a su carta de capacidad activa y obtén <sprite name=XP1>.","Jeśli zabiłeś przeciwnika w tej rundzie, odłóż znacznik Ulubieńca z powrotem na kartę i zyskaj <sprite name=XP1>.",
JOTL_038_B,"The next four times you kill an enemy, perform a ""<nobr>Heal <sprite name=Heal> 3</nobr>, <nobr>Range <sprite name=Range> 2</nobr>, <nobr>BLESS <sprite name=Bless></nobr>"" action.","Les quatre prochaines fois que vous éliminez un adversaire, effectuez une action <nobr>« Soins <sprite name=Heal> 3</nobr>, <nobr>Portée <sprite name=Range> 2</nobr>, <nobr>BÉNÉDICTION <sprite name=Bless> ».</nobr>","Die nächsten vier Male, wenn du einen Gegner tötest, führe ""<nobr>Heilung <sprite name=Heal> 3</nobr>, <nobr>Reichweite <sprite name=Range> 2</nobr>, <nobr>SEGEN <sprite name=Bless></nobr>"" aus.","Las próximas 4 veces que mates a un enemigo, realiza una acción de «<nobr>Curación <sprite name=Heal> 3</nobr>, <nobr>Alcance <sprite name=Range> 2</nobr>, <nobr>BENDICIÓN <sprite name=Bless></nobr>».","W czterech następnych przypadkach gdy zabijesz przeciwnika, wokonaj akcję „<nobr>Leczenie <sprite name=Heal> 3</nobr>, <nobr>Zasięg <sprite name=Range> 2</nobr>, <nobr>BŁOGOSŁAWIEŃSTWO <sprite name=Bless></nobr>"".",
JOTL_082_T,"On your next two attacks, add <nobr>+2 Attack <sprite name=Attack></nobr>.",Ajoute <nobr>+2 en Attaque <sprite name=Attack></nobr> à vos deux prochaines attaques.,Füge deinen nächsten zwei Angriffen <nobr>+2 Angriff <sprite name=Attack></nobr> hinzu.,"Para tus próximos 2 ataques, añade <nobr>Ataque <sprite name=Attack> +2</nobr>.",Dodaj <nobr>+2 do Ataku <sprite name=Attack></nobr> dla twoich następnych dwóch ataków.,
JOTL_082_B,Double the value of your next <nobr>Move.</nobr>,Double la valeur de votre prochain <nobr>Déplacement.</nobr>,Verdopple den Wert deiner nächsten <nobr>Bewegung.</nobr>,Duplica el valor de tu siguiente <nobr>Movimiento</nobr>.,Podwaja wartość twojej następnej zdolności <nobr>Ruchu.</nobr>,
JOTL_083_T,Add <nobr>+2 Attack <sprite name=Attack></nobr> and gain <sprite name=XP1> if the target is adjacent to a wall.,"Ajoute <nobr>+2 en Attaque <sprite name=Attack></nobr>. De plus, vous gagnez <sprite name=XP1> si la cible est adjacente à un mur.","Füge <nobr>+2 Angriff <sprite name=Attack></nobr> hinzu und erhalte <sprite name=XP1>, wenn das Ziel an eine Mauer angrenzt.",Añade <nobr>Ataque <sprite name=Attack> +2</nobr> y obtén <sprite name=XP1> si el objetivo está adyacente a una pared.,Dodaj <nobr>+2 do Ataku <sprite name=Attack></nobr> i zyskaj <sprite name=XP1> jeżeli cel sąsiaduje ze ścianą.,
JOTL_083_B,One adjacent enemy that is adjacent to a wall suffers 2 damage.,Un adversaire adjacent qui est également adjacent à un mur subit 2 dégâts.,"Ein angrenzender Gegner, der an eine Mauer angrenzt, erleidet 2 Schaden.",Un enemigo adyacente que esté también adyacente a una pared sufre 2 de daño.,"Jeden sąsiadujący przeciwnik, który sąsiaduje ze ścianą, otrzymuje 2 obrażenia.",
JOTL_084_T,All heals targeting the attacked target have no effect this round.,Tous les soins ciblant la cible n'ont aucun effet au cours de ce round.,"Alle Heilungen, die das angegriffene Ziel anvisieren, haben in dieser Runde keine Wirkung.",Todas las curaciones que tomen como objetivo al objetivo de este ataque no tienen efecto durante esta ronda.,"Wszelkie leczenie skierowane w cel nie działa w tej rundzie. Aby to zaznaczyć, umieść na celu jeden znaczników twojej postaci.",
