Keys,English [en-GB],French [fr],German [de],Spanish [es],Polish [pl]
Item_MastersLute,"After performing any Song action, you may immediately perform an ""<nobr>Attack <sprite name=Attack> 2</nobr>"" or ""<nobr>Move <sprite name=Move> 2</nobr>"" action.","Après avoir accompli une action de type Chant, vous pouvez immédiatement effectuer une action <nobr>« Attaque <sprite name=Attack> 2 »</nobr> ou <nobr>« Déplacement <sprite name=Move> 2 ».</nobr>","Nachdem du ein Lied gespielt hast, kannst du sofort eine ""<nobr>Angriff <sprite name=Attack> 2</nobr>""- oder ""<nobr>Bewegung <sprite name=Move> 2</nobr>""-Aktion ausführen.","Después de realizar cualquier acción de Canción, puedes realizar inmediatamente una acción «<nobr>Ataque <sprite name=Attack> 2</nobr>» o «<nobr>Movimiento <sprite name=Move> 2</nobr>».",Po wykonaniu dowolnej Pieśni natychmiast wykonaj akcję „<nobr>Ataku <sprite name=Attack> 2</nobr>“ albo „<nobr>Ruchu <sprite name=Move> 2</nobr>“
ITEM_NAME_MaskOfDeath,Mask of Death,Masque de Mort,Todesmaske,Máscara de la muerte,Maska Śmierci
Item_MaskOfDeath,"Any time you perform a melee attack and you have exactly 1 hit point, add <nobr>+2 Attack <sprite name=Attack></nobr> to the attack.","Chaque fois que vous portez une attaque au corps à corps alors qu'il vous reste très exactement 1 point de vie, vous gagnez <nobr>+2 en Attaque <sprite name=Attack>.</nobr>","Wenn du genau 1 Trefferpunkt hast und einen Nahkampfangriff ausführst, kannst du diesem <nobr>+2 Angriff <sprite name=Attack></nobr> hinzufügen.","Cada vez que realices un ataque cuerpo a cuerpo y te quede exactamente 1 punto de vida, añade <nobr>Ataque <sprite name=Attack> +2</nobr> al ataque.","Za każdym razem gdy wykonujesz aktak wręcz i masz dokładnie 1 punkt życia, dodaj <nobr>+2 do Ataku <sprite name=Attack></nobr>."
ITEM_NAME_PendantOfThePlague,Pendant of the Plague,Pendentif de la Peste,Seuchenbrosche,Colgante de la plaga,Medalion Zarazy
Item_PendantOfThePlague,"During your turn, <nobr>POISON <sprite name=Poison></nobr> and <nobr>CURSE <sprite name=Curse></nobr> one enemy within <nobr>Range <sprite name=Range> 3</nobr>.","Durant votre tour, applique <nobr>EMPOISONNEMENT <sprite name=Poison></nobr> et <nobr>MALÉDICTION <sprite name=Curse></nobr> à un adversaire à <nobr>Portée <sprite name=Range> 3.</nobr>",Verursache in deinem Zug <nobr>GIFT <sprite name=Poison></nobr> und <nobr>FLUCH <sprite name=Curse></nobr> bei einem Gegner in <nobr>Reichweite <sprite name=Range> 3</nobr>.,"Durante tu turno, inflige <nobr>VENENO <sprite name=Poison></nobr> y <nobr>MALDICIÓN <sprite name=Curse></nobr> a 1 enemigo a <nobr>Alcance <sprite name=Range> 3</nobr>.",Podczas twojej tury <nobr>ZATRUJ <sprite name=Poison></nobr> i rzuć <nobr>KLĄTWĘ <sprite name=Curse></nobr> na jednego wroga w <nobr>Zasięgu <sprite name=Range> 3</nobr>.
ITEM_NAME_PhasingIdol,Phasing Idol,Idole de Phase,Phasenfigur,Ídolo de fase,Fazujący Bożek
Item_PhasingIdol,"When a summon you own is damaged by an attack, it suffers no damage instead.","Lorsque l'une de vos invocations devrait subir des dégâts d'une attaque, elle n'en subit aucun.","Wenn einer deiner Beschworenen durch einen Angriff Schaden erleiden würde, erleidet er keinen Schaden.","Cuando una de tus invocaciones sufra daño por un ataque, en vez de eso no sufre ningún daño.","Kiedy twój przywołany sojusznik jest atakowany i ma otrzymać obrażenia, zignoruj je."
ITEM_NAME_PsychicKnife,Psychic Knife,Poignard Psychique,Astralmesser,Cuchillo psíquico,Mistyczny Nóż
Item_PsychicKnife,"Any time you activate a new Augment, add <nobr>+2 Attack <sprite name=Attack></nobr> to the entire action.","Chaque fois que vous activez une nouvelle Amplification, ajoutez <nobr>+2 en Attaque <sprite name=Attack></nobr> à toute votre action.","Wenn du eine neue Aufwertung aktivierst, füge der gesamten Aktion <nobr>+2 Angriff <sprite name=Attack></nobr> hinzu.","Cada vez que actives un nuevo Aumento, añade <nobr>Ataque <sprite name=Attack> +2</nobr> a toda la acción.","Za każdym razem gdy aktywujesz nowy Dopalacz, dodaj <nobr>+2 do Ataku <sprite name=Attack></nobr> dla całej akcji."
ITEM_NAME_SilentStiletto,Silent Stiletto,Stylet Silencieux,Flüsterklinge,Estilete silencioso,Sztylet Skrytobójcy
Item_SilentStiletto,"Any time you perform an attack, add <nobr>PIERCE <sprite name=Pierce> 1</nobr> to the attack.","Chaque fois vous effectuez une attaque, ajoutez-y <nobr>PERFORATION <sprite name=Pierce> 1</nobr>.",Füge all deinen Angriffen <nobr>DURCHSTECHEN <sprite name=Pierce> 1</nobr> hinzu.,"Cada vez que realices un ataque, añade <nobr>PERFORANTE <sprite name=Pierce> 1</nobr> al ataque.","Za każdym razem gdy wykonujesz atak, dodaj <nobr>PRZEBICIE <sprite name=Pierce> 1</nobr> dla tego ataku."
ITEM_NAME_StaffOfCommand,Staff of Command,Bâton de Commandement,Befehlsstab,Vara de mando,Różdżka Posłuszeństwa
Item_StaffOfCommand,"After performing a Command action, play one card from your hand and immediately perform the same side of the card as the Command action.","Après avoir effectué une action de type Ordre, jouez une carte de votre main et effectuez immédiatement l'action écrite sur la moitié de cette carte correspondant à l'action Ordre choisie.",Spiele nach Ausführen einer Befehlsaktion eine Handkarte aus und wende sofort dieselbe Seite der Karte als Befehl an.,"Después de realizar una acción de Orden, juega una carta de tu mano y realiza de inmediato el mismo lado de la carta como la acción de Orden.","Po wydaniu Rozkazu zagraj jedną kartę z ręki i natychmiast rozpatrz tę samą stronę karty (górną lub dolną), jako akcję Rozkazu."
ITEM_NAME_StoneCharm,Stone Charm,Charme de Pierre,Steinamulett,Amuleto de piedra,Kamienna Tiara
Item_StoneCharm,"Whenever you create an obstacle, all enemies adjacent to the obstacle gain <nobr>MUDDLE <sprite name=Muddle></nobr>.","Chaque fois que vous créez un obstacle, tous les adversaires qui lui sont adjacents subissent <nobr>CONFUSION <sprite name=Muddle></nobr>.","Wenn du ein Hindernis erschaffst, erhalten alle Gegner, die an das Hindernis angrenzen, <nobr>VERWIRRUNG <sprite name=Muddle></nobr>.","Siempre que crees un obstáculo, todos los enemigos adyacentes a él sufren <nobr>CONFUSIÓN <sprite name=Muddle></nobr>.","Za każdym razem gdy tworzysz przeszkodę, wszyscy sąsiadujący z nią przeciwnicy otrzymują <nobr>ZAMROCZENIE <sprite name=Muddle></nobr>."
ITEM_NAME_SmokeElixir,Smoke Elixir,Élixir de Fumée,Rauchelixier,Elixir de humo,Eliksir Cienia
Item_SmokeElixir,"During your turn, gain <nobr>INVISIBLE <sprite name=Invisible></nobr>.","Pendant votre tour, vous bénéficiez de l'état <nobr>INVISIBILITÉ <sprite name=Invisible></nobr>.",Werde während deines Zugs <nobr>UNSICHTBAR <sprite name=Invisible></nobr>.,"Durante tu turno, obtén <nobr>INVISIBILIDAD <sprite name=Invisible></nobr>.",Podczas twojej tury zyskaj <nobr>NIEWIDZIALNOŚĆ <sprite name=Invisible></nobr>.
ITEM_NAME_SunShield,Sun Shield,Bouclier du Soleil,Sonnenschild,Escudo del sol,Słoneczna Tarcza
Item_SunShield,"When damaged by an attack, you may <sprite name=ConsumeLight> to gain <nobr>Shield <sprite name=Shield> 2</nobr> and <nobr>Retaliate <sprite name=Retaliate> 1</nobr> for the attack.","Lorsque vous subissez des dégâts d'une attaque, vous pouvez <sprite name=ConsumeLight> pour gagner <nobr>Bouclier <sprite name=Shield> 2</nobr> et <nobr>Riposte <sprite name=Retaliate> 1</nobr> contre cette attaque.","Wenn du durch einen Angriff <sprite name=ConsumeLight> Schaden erleidest, kannst du <nobr>Schild <sprite name=Shield> 2</nobr> und <nobr>Vergeltung <sprite name=Retaliate> 1</nobr> für den Angriff erhalten.","Cuando sufras daño por un ataque, puedes <sprite name=ConsumeLight> para obtener <nobr>Escudo<sprite name=Shield> 2</nobr> y <nobr>Represalia <sprite name=Retaliate> 1</nobr> contra ese ataque.","Kiedy otrzymujesz obrażenia z ataku, możesz <sprite name=ConsumeLight>, aby zyskać <nobr>Tarczę <sprite name=Shield> 2</nobr> oraz <nobr>Odwet <sprite name=Retaliate> 1</nobr> dla tego ataku."
ITEM_NAME_UtilityBelt,Utility Belt,Ceinture à Poches,Werkzeuggürtel,Cinturón multiusos,Pas Narzędziowy
Item_UtilityBelt,"During your turn, you or any one ally may <nobr>Refresh <sprite name=Refresh></nobr> one of your spent or consumed items.","Pendant votre tour, vous ou l'un de vos alliés pouvez <nobr>Rafraîchir <sprite name=Refresh></nobr> un de vos objets dépensés ou consommés.",In deinem Zug darfst du oder ein Verbündeter einen abgenutzten oder verbrauchten Gegenstand <nobr>erneuern <sprite name=Refresh></nobr>.,"Durante tu turno, cualquier aliado o tú podéis <nobr>Reponer <sprite name=Refresh></nobr> 1 de vuestros objetos gastados o consumidos.",Podczas twojej tury ty albo jeden z twoich sojuszników możecie <nobr>Odśieżyć <sprite name=Refresh></nobr> jeden z twoich wykorzystanych albo zużytych przedmiotów.
ITEM_NAME_VolatileElixir,Volatile Elixir,Élixir Volatil,Instabiles Elixier,Elixir volátil,Niestabilny Eliksir
Item_VolatileElixir,"During your ranged attack, add <nobr>+2 Attack <sprite name=Attack></nobr> and gain Advantage on the entire Attack action, but suffer 2 damage for each attack made.","Pendant votre attaque à distance, ajoutez <nobr>+2 en Attaque <sprite name=Attack></nobr> et bénéficiez d'un Avantage à la totalité de l'action d'attaque, mais vous subissez 2 dégâts pour chaque attaque que vous portez.",Füge deinem Fernangriff <nobr>+2 Angriff <sprite name=Attack></nobr> hinzu und erhalte Vorteil bei deiner gesamten Angriffsaktion. Du erleidest jedoch bei jedem deiner Angriffe 2 Schaden.,"Durante tu ataque a distancia, añade <nobr>Ataque <sprite name=Attack> +2</nobr> y obtén Ventaja en toda la acción de ataque, pero sufres 2 puntos de daño por cada ataque realizado.","Podczas twojego ataku dystansowego dodaj <nobr>+2 do Ataku <sprite name=Attack></nobr> oraz zyskaj Korzyść na całą akcję ataku, kosztem otrzymania 2 obrażeń za każdy wykonany atak.."
INTRO_GH_1,,0,0,0,
INTRO_TRAVEL_1,,0,0,0,
INTRO,,0,0,0,
Start_1,,0,0,0,
Room_2_1,,0,0,0,
Success_1,,0,0,0,
OUTRO_TRAVEL_1,,0,0,0,
OUTRO_GH_1,,0,0,0,
Quest_SOLO_Brute_ReturnToTheBlackBarrow_NAME,Return to the Black Barrow,Retour au Tertre Noir,Rückkehr zum Schwarzgrab,Regreso al Túmulo Negro,Powrót do Czarnego Kurhanu
Quest_SOLO_Brute_ReturnToTheBlackBarrow_DESC,The Brute re-visits past glories,La Brute se rappelle sa gloire passée,Der Barbar schwelgt in vergangenem Ruhm,El Salvaje recuerda glorias pasadas.,Kark ponownie odwiedza miejsce dawnej chwały
Quest_SOLO_Brute_ReturnToTheBlackBarrow_List,The Brute's Solo Quest,Quête solo de la Brute,Soloquest des Barbaren,Misión en solitario del Salvaje,Solowa misja Karka
Quest_SOLO_Brute_ReturnToTheBlackBarrow_INTRO,"You sniff the air as you descend the familiar stone steps, and the stale smell of death and decay fills you with anger—an anger focused on yourself. You remember the first time you stepped down into these depths and smelled this odor. It was your first job after you arrived in Gloomhaven. And you remember being scared by it.

You would never have dreamed of exposing your fear to your companions. They were depending on you to lead the charge into your bandit foes. When you’re this big, no one expects you to feel fear, but sometimes it’s inevitable.

Still, your reaction to this place has haunted you ever since. When you began to hear rumors about a powerful weapon hidden in the depths of the Black Barrow, you jumped at the opportunity to return and face its dangers. Alone.","L'odeur putride de mort et de décomposition que vous sentez en descendant ces marches de pierre familières vous emplit d'une colère tournée contre vous-même. Vous vous rappelez la première fois où vous vous êtes enfoncé dans ces profondeurs et avez senti cette odeur. C'était votre première mission, juste après votre arrivée à Havrenuit. Et vous vous souvenez de la peur que vous avez ressentie à l'époque.
 
 Bien entendu, vous avez tout fait pour ne rien laisser paraître à vos compagnons, qui comptaient sur vous pour mener l'assaut contre ces bandits. Quand on est aussi imposant, personne n'imagine que vous puissiez céder à la panique. Et pourtant, c'est parfois inévitable.
 
 Mais depuis ce jour, la réaction que vous a inspirée cet endroit vous hante. Alors, quand vous avez commencé à entendre des rumeurs à propos d'une arme puissante cachée dans les profondeurs du Tertre Noir, vous avez sauté sur l'occasion d'y retourner pour affronter ses dangers. Seul, bien sûr.","Als du die vertrauten Treppen hinabsteigst, erfüllt dich der faulige Gestank von Tod und Verwesung mit Zorn - auf dich selbst. Du erinnerst dich an das erste Mal, als du in diese Tiefen gestiegen bist und diesen Geruch in der Nase hattest. Es war dein erster Auftrag nach der Ankunft in Gloomhaven. Und du erinnerst dich an deine Furcht dabei.
 
 Du hättest nie gedacht, dass du deinen Gefährten deine Furcht offenbaren würdest. Sie waren darauf angewiesen, dass du den Angriff auf die Banditengegner leitest. Wenn man so groß ist, erwartet niemand, dass man sich fürchtet, aber manchmal ist es unvermeidlich.
 
 Deine Reaktion auf diesen Ort hat dich trotzdem nicht mehr losgelassen. Als du dann Gerüchte über eine mächtige Waffe in den Tiefen des Schwarzgrabs hörtest, nutztest du die Gelegenheit, dich den Gefahren zu stellen. Allein.","A medida que desciendes por los ya conocidos escalones de piedra, exhalas el aire, y el olor rancio a muerte y decadencia te llena de ira, una ira focalizada en ti mismo. Recuerdas la primera vez que bajaste a este lugar y percibiste este olor. Fue tu primer trabajo cuando llegaste a Gloomhaven y estabas asustado.
 
 Nunca te habrías imaginado exponiéndoles tus miedos a tus compañeros. Dependían de ti para liderar el ataque a los bandidos enemigos. Cuando tienes un tamaño así, nadie cree que sientas miedo, aunque, en ocasiones, es inevitable.
 
 Aun así, tu reacción ante este lugar te ha perseguido desde entonces. Así que cuando empiezas a oír rumores acerca de una poderosa arma escondida en las profundidades del Túmulo Negro, aprovechas la oportunidad para regresar y enfrentarte a sus peligros en solitario.","Schodząc po znajomych kamiennych schodach od razu czujesz odrażający odór śmierci i zgnilizny. Odór, który napełnia cię gniewem - gniewem na samego siebie. To była twoje pierwsze zlecenie, zaraz po przybyciu do Gloomhaven. Dokładnie pamiętasz, kiedy pierwszy raz zszedłeś w głąb tych korytarzy i poczułeś dokładnie ten sam smród. I pamiętasz też strach, który ci towarzyszył.

Nie chciałeś dać tego po sobie poznać, ale bałeś się. Polegali na tobie, miałeś poprowadzić atak na znajdujących się tam bandytów. Kiedy jesteś taki wielki, nikt się nie spodziewa, że czujesz lęk, ale czasami nie da się go powstrzymać.

Wspomnienia tego miejsca przyprawiały cię o dreszcze. Jednak kiedy usłyszałeś pogłoski o potężnej broni ukrytej w głębi Czarnego Kurhanu natychmiast postanowiłeś tu wrócić i stawić czoła niebezpieczeństwu. Samotnie."
Scenario_SOLO_Brute_ReturnToTheBlackBarrow_Start_1,"You are stronger now—more seasoned. 
Walking down these steps no longer fills you with dread, only excitement.","Aujourd'hui, vous êtes plus fort. Plus expérimenté.
 Vous ne ressentez plus la moindre peur en descendant ces marches, seulement de l'excitation.","Jetzt bist du stärker und erfahrener.
 Beim Hinabsteigen der Treppe spürst du keine Furcht mehr - nur Aufregung.","Ahora eres más fuerte y tienes más experiencia.
 Caminar por estos lares ya no te despierta temor, sino emoción.","Jesteś teraz silniejszy i bardziej doświadczony. Zejście po tych schodach już nie napawa cię lękiem, tylko podnieceniem."
Scenario_SOLO_Brute_ReturnToTheBlackBarrow_Start_2,So you hope that more pathetic bandits have made this place their home since the last time you charged through these dark halls.,Aussi espérez-vous que d'autres minables bandits se sont installés dans ce repaire depuis la dernière fois où vous vous êtes aventuré dans ces couloirs obscurs.,"Also hoffst du, dass noch mehr erbärmliche Banditen hier ihr Lager aufgeschlagen haben, seit du das letzte Mal durch diese dunklen Hallen gestürmt bist.",Tienes la esperanza de que más patéticos bandidos se hayan instalado en este lugar desde la última vez que combatiste en sus oscuros pasillos.,"Masz nadzieję, że od czasu waszej potyczki w tych ciemnych salach znowu zamieszkali je jacyś żałośni bandyci."
Scenario_SOLO_Brute_ReturnToTheBlackBarrow_Start_3,You reach the bottom of the steps and bash open the door. You are not disappointed.,Vous arrivez en bas de l'escalier et défoncez la porte. Vous n'êtes pas déçu.,Du erreichst das Ende der Treppe und stößt die Tür auf. Deine Erwartungen werden nicht enttäuscht.,"Llegas al final de la escalera, abres la puerta de golpe y no te decepcionas al ver que estabas en lo cierto.",Dochodzisz do końca schodów i otwierasz drzwi. Nie jesteś zawiedziony.
Scenario_SOLO_Brute_ReturnToTheBlackBarrow_Room_3_1,"Despite your numerous wounds, you press on into the final room. Everything is exactly as you remember—smug bandits and animated bones.","Malgré vos nombreuses blessures, vous continuez à avancer vers la salle finale. Tout est exactement comme dans vos souvenirs, des bandits trop confiants aux morts-vivants.",Trotz deiner zahlreichen Wunden dringst du in den letzten Raum vor. Alles ist genau wie in deiner Erinnerung: arrogante Banditen und erweckte Skelette.,"A pesar de todas las heridas, avanzas hasta la última sala y la encuentras exactamente como la recordabas: bandidos engreídos y esqueletos animados.","Pomimo licznych ran przedzierasz się do ostatniego pomieszczenia. Wszystko jest dokładnie tak, jak zapamiętałeś - pyszałkowaci bandyci i ożywione szkielety."
Scenario_SOLO_Brute_ReturnToTheBlackBarrow_Room_3_2,"“You shouldn’t have come—” An archer begins to talk, but you silence her with a dismissive wave of your hand. These fools aren’t important enough to waste your time with speeches.","« Vous n'auriez pas dû venir... » commence une archère, mais vous l'interrompez d'un geste dédaigneux de la main. Vous n'avez pas de temps à perdre avec ces minables sans importance.","""Du hättest nicht herkommen sollen..."" Eine Schützin beginnt zu sprechen, doch deine abschätzige Geste bringt sie zum Schweigen. Diese Narren sind nicht wichtig genug, um deine Zeit mit Ansprachen zu verschwenden.","—No deberías haber venido aquí —comienza a decirte un arquero, pero lo callas con un despectivo gesto con la mano. Estos idiotas no son lo bastante importantes como para hacerte perder el tiempo con sus discursos.","„Nie powinieneś tu przychodzić...“ - łucznik zaczyna mówić, ale uciszasz go lekceważącym machnięciem ręki. Ci głupcy nie są warci, by tracić czas na gadanie."
Scenario_SOLO_Brute_ReturnToTheBlackBarrow_Success_1,You limp toward the stairs at the back of the room and can’t help but let out a bellowing laugh. You are unstoppable—a force to be reckoned with.,"Alors que vous boitez vers l'escalier situé au fond de la salle, vous ne pouvez réprimer un rire tonitruant. Vous êtes véritablement invincible, une vraie force de la nature.",Du hinkst auf die Treppen weiter hinten im Raum zu und musst laut lachen. Du bist unaufhaltsam - eine bezwingende Naturgewalt.,"Cojeas hacia las escaleras de la parte trasera de la sala y no puedes evitar soltar una carcajada. Eres imparable, una fuerza que conviene temer.",Kuśtykasz w kierunku schodów które znajdują się na tyłach sali. Nie możesz powstrzymać się od głośnego śmiechu. Nic nie jest w stanie cię powstrzymać.
Scenario_SOLO_Brute_ReturnToTheBlackBarrow_Success_2,"Trailing blood, you make your way into the lower catacombs, looking for the telltale clues of your quarry.","Laissant une traînée de sang derrière vous, vous vous enfoncez dans les catacombes, à la recherche d'indices sur l'objet de votre quête.",Auf der Suche nach Hinweisen auf deine Beute hinterlässt du auf dem Weg in die unteren Katakomben eine blutige Spur.,"Dejando un reguero de sangre, te abres camino por las catacumbas inferiores en busca de alguna pista que revele tu objetivo.","Brocząc krwią schodzisz do niższych katakumb, w poszukiwaniu legendarnej broni."
Scenario_SOLO_Brute_ReturnToTheBlackBarrow_Success_3,"Perhaps it is luck, or perhaps the rest of the bandits were terrified of your laughter, but either way, you find the sword and leave without further incident.","Peut-être est-ce la chance, ou peut-être les bandits qui restaient ont-ils été terrifiés par votre rire, mais peu importe, vous trouvez enfin la fameuse épée et ressortez sans autre incident","Vielleicht ist es reines Glück, vielleicht hat auch dein Lachen die restlichen Banditen in Panik versetzt - jedenfalls findest du das Schwert und kannst ohne weitere Zwischenfälle verschwinden.","Puede que sea la suerte, o puede que tus carcajadas hayan atemorizado al resto de los bandidos, pero, sea como sea, encuentras la espada y abandonas el lugar sin más incidentes.","Być może masz szczęście, a może reszta bandytów uciekła, przerażona twoim śmiechem, ponieważ znajdujesz miecz i odchodzisz bez żadnych przeszkód."
Quest_SOLO_Tinkerer_AnUnfortunateIntrusion_NAME,An Unfortunate Intrusion,Une intrusion des plus malencontreuses,Eine bedauerliche Störung,Una intrusión desafortunada,Pechowy najazd
Quest_SOLO_Tinkerer_AnUnfortunateIntrusion_DESC,The Tinkerer does what they do best... tinkering!,Le Bricoleur fait ce qu'il fait de mieux... bricoler !,"Der Tüftler tut, was er am besten kann - tüfteln!",El Manitas hace lo que mejor se le da: ¡trastear!,"Druciarz robi to, co potrafi najlepiej... majstruje!"
Quest_SOLO_Tinkerer_AnUnfortunateIntrusion_List,The Tinkerer's Solo Quest,Quête solo du Bricoleur,Soloquest des Tüftlers,Misión en solitario del Manitas,Solowa misja Druciarza
Quest_SOLO_Tinkerer_AnUnfortunateIntrusion_INTRO_GH_1,"Ah, the joy of tinkering! Every spare moment you find, you spend at your workshop along the northwest wall in the Horn District. It is out of the way, but it is quiet, and the rent is cheap.","Ah, les joies du bricolage ! Vous passez le plus de temps possible dans votre atelier le long du mur nord-ouest de la ville, dans le Quartier de la Corne. Il est quelque peu excentré, certes, mais les environs sont calmes et le loyer n'est pas excessif.","Ah, die Freuden des Tüftelns! Jeden freien Moment verbringst du in deiner Werkstatt an der nordwestlichen Mauer des Hornviertels. Sie liegt recht weit abseits, jedoch ruhig, und die Miete ist günstig.","¡Ah, el placer de trastear! Cada momento de ocio que tienes lo pasas en tu taller, situado en la muralla noroeste del Barrio del Cuerno. Es un lugar apartado, pero hay tranquilidad y el alquiler es barato.","Ach, ta radość z majsterkowania! Każdą wolną chwilę, spędzasz w warsztacie przy północnozachodnim murze w Dzielnicy Rogów. Warsztat leży trochę na uboczu, ale panuje tu spokój, a czynsz jest niski."
Quest_SOLO_Tinkerer_AnUnfortunateIntrusion_INTRO_GH_2,Recently you’ve been making great progress on constructing a handheld potion dispenser that could really be put to good use in combat. You are finishing the final stages of construction when...,"Récemment, vous avez bien avancé dans la construction de votre distributeur de potions portatif, une invention qui pourrait réellement se révéler utile lors des combats. Vous terminez les dernières étapes du montage quand, soudainement...","In letzter Zeit hast du gute Fortschritte bei der Konstruktion eines tragbaren Trankspenders gemacht, der im Kampf sehr nützlich sein könnte. Du willst ihm gerade den letzten Schliff geben, als plötzlich ...","Últimamente, has hecho grandes progresos en la construcción de un dispensador de pociones portátil que podría ser de mucha utilidad en combate. Solo te falta hacer unos pocos ajustes cuando…","Ostatnio poczyniłeś spore postępy w konstruowaniu automatycznego dozownika mikstur, który może się przydać podczas walki. Kończysz ostatni etap budowy, kiedy słyszysz..."
